OBJECT_ID,County_Name,Population,Town_Death,Death_Rate,Poisson,NB_BYM
1,Cape May,176,0,0,1.9309785682389218,0.44110893359618125
2,Cape May,1093,0,0,0.9613023706390897,0.4569396917743248
3,Cape May,3463,2,5.775339301183945e-4,4.3668077903159555,2.394575179504249
4,Cape May,3096,0,0,3.237715857276915,1.0964556890608865
5,Cape May,385,0,0,0.8760123991963918,0.44382236263588076
6,Cape May,3812,3,7.869884575026233e-4,4.851346621017621,2.9699775518102567
7,Cape May,21653,42,0.001939685032097169,15.320873575829896,37.67449935245977
8,Cape May,885,0,0,2.9165851062411066,0.9126472308730625
9,Cape May,1406,0,0,4.2916974873823746,1.0986827378663828
10,Cape May,18365,13,7.078682276068608e-4,13.139308731282895,12.349433258536987
11,Cape May,2147,0,0,4.326833490688398,1.1499652304231078
12,Cape May,2341,11,0.004698846646732166,3.87742125273073,8.959243384762663
13,Cape May,6204,11,0.0017730496453900709,5.06664365317667,8.643526209993423
14,Cape May,11132,3,2.6949335249730504e-4,17.610910833569744,4.707404461341036
15,Atlantic,869,0,0,2.8161929466846116,1.102812415222767
16,Cape May,11886,3,2.523977788995457e-4,6.105814845765608,3.338864009574032
17,Atlantic,537,0,0,0.2635075064985541,0.15230120867314878
18,Atlantic,10321,0,0,9.983628435711077,2.597477616497902
19,Atlantic,5997,2,3.3350008337502084e-4,12.17198982321388,3.757853793618667
20,Cumberland,4979,3,6.025306286402892e-4,2.5646527695024557,2.4928601856166464
21,Cumberland,1107,0,0,0.8863921525555862,0.46746417731545364
22,Atlantic,10095,3,2.9717682020802375e-4,12.590257258212766,4.62801779540853
23,Atlantic,6742,13,0.001928211213289825,6.980023306493003,11.603201175072202
24,Atlantic,8153,31,0.0038022813688212928,9.081839639085239,27.552723347477734
25,Cumberland,3123,2,6.404098623118795e-4,2.988355024151601,2.1548768717820015
26,Atlantic,37999,15,3.9474723019026814e-4,37.88212704877489,17.58048957648524
27,Cumberland,599,0,0,0.47632811817710835,0.23213672380548658
28,Atlantic,2755,1,3.629764065335753e-4,6.804729608014329,2.0752610701398395
29,Atlantic,1728,0,0,1.0907082358734614,0.5950370654881763
30,Cumberland,27721,39,0.0014068756538364417,23.417813666492325,36.44975740566503
31,Atlantic,8832,1,1.1322463768115942e-4,12.553180233697535,3.1077176057844103
32,Cumberland,24540,36,0.001466992665036675,39.384250599853914,37.49315417141174
33,Cumberland,399,0,0,0.2288338027186984,0.12339070574380114
34,Cumberland,3053,2,6.550933508024893e-4,4.728278002468345,2.566218397055282
35,Cumberland,4386,1,2.2799817601459188e-4,5.304011793119017,1.8960264579346908
36,Atlantic,4356,4,9.182736455463728e-4,3.3828506085494596,3.25715655913369
37,Atlantic,1121,0,0,1.1350170540131364,0.6218745261253606
38,Salem,1719,0,0,1.434366588085904,0.5940149875372464
39,Cumberland,7379,6,8.131183087139179e-4,6.35093693342884,5.332321313005332
40,Gloucester,1521,2,0.0013149243918474688,1.6174389723919993,1.6882396654234149
41,Cumberland,60034,57,9.494619715494553e-4,81.22692967248074,57.9832679435737
42,Salem,1052,0,0,0.9376168698753307,0.4276766620549847
43,Salem,2278,0,0,1.7179130700904095,0.7628960522661179
44,Ocean,1090,0,0,1.2639410027002604,0.5266056713015278
45,Salem,4781,1,2.0916126333403055e-4,4.490200954988837,2.0967419241318384
46,Atlantic,25973,8,3.08012166480576e-4,18.16710475377217,9.04799557245343
47,Atlantic,7295,1,1.3708019191226866e-4,5.238443009120618,1.9745755819169892
48,Salem,1436,0,0,1.1789461606646185,0.6508811510524659
49,Salem,3357,0,0,2.9686656084176724,1.0651753839264666
50,Ocean,3367,0,0,2.123039958975912,0.9781580150473166
51,Atlantic,1697,0,0,1.4141684261947634,0.6189946287779681
53,Gloucester,16440,7,4.2579075425790754e-4,11.206796797917752,7.153916568836255
54,Salem,3456,13,0.003761574074074074,4.031442048968975,9.898094324738077
55,Salem,3373,0,0,4.130612477584172,1.1775853674677699
57,Salem,1748,2,0.0011441647597254005,2.978199978329008,1.8117913005085944
58,Gloucester,8626,1,1.1592858798979828e-4,9.10108815181361,2.526422452627565
60,Salem,12571,3,2.3864449924429243e-4,12.741069538787485,4.28768510378369
61,Gloucester,4135,1,2.418379685610641e-4,4.882078307849287,1.9135559363207648
62,Ocean,475,0,0,1.3980678697861892,0.5155966824167922
63,Ocean,1583,0,0,1.3166147088286886,0.6208871612363526
64,Salem,4011,0,0,4.138686347955728,1.2318941090688396
65,Gloucester,36789,12,3.261844573106092e-4,31.565401246051643,13.28234557915721
66,Gloucester,3148,0,0,2.2093757747170564,0.9812531290851968
67,Gloucester,19826,7,3.5307172399878946e-4,18.801311835726374,8.207384842321188
68,Salem,4816,6,0.0012458471760797341,3.8092488147445804,5.441558303126493
69,Camden,1489,1,6.71591672263264e-4,3.0333106680678754,1.5378735904257659
70,Gloucester,8805,3,3.4071550255536625e-4,7.52542413434275,3.6688171087761963
72,Gloucester,2579,2,7.754943776657619e-4,2.119401733014491,2.297257225115001
73,Gloucester,12995,1,7.695267410542516e-5,7.095325050688969,2.4100137159091246
75,Burlington,1319,0,0,0.5471363803724416,0.26844240961055765
76,Ocean,21127,17,8.046575472144649e-4,24.589612117903194,16.925582952889997
77,Burlington,774,0,0,0.4979273211746339,0.28275617860520863
78,Ocean,27347,29,0.0010604453870625664,23.97754014676904,28.11144257684251
79,Camden,38829,35,9.013881377321074e-4,34.88284008987573,34.381245336070016
80,Salem,1760,1,5.681818181818182e-4,2.3748929344023,1.388334963844066
81,Camden,10702,4,3.7376191366099795e-4,9.15185709251015,4.624565917914491
82,Gloucester,12549,4,3.187504980476532e-4,9.617354434526977,5.103424796698798
84,Gloucester,14941,2,1.3385984873837093e-4,11.733241894069568,3.5710225866262353
85,Gloucester,2259,1,4.426737494466578e-4,1.7075918626960442,1.122690910500356
86,Gloucester,47833,40,8.362427612735977e-4,42.34176036545821,39.231218632794686
87,Camden,10442,3,2.873012832790653e-4,7.401757445554768,4.023698999717355
88,Camden,7539,11,0.001459079453508423,7.152486426293307,9.58947394129216
89,Camden,4918,5,0.0010166734444896298,4.662204583643053,4.803984044346152
90,Camden,1959,1,5.104645227156713e-4,1.4724074464487187,0.9880109412586763
91,Gloucester,10488,1,9.534706331045004e-5,8.285297619806146,2.5840130895666773
92,Ocean,22754,11,4.8343148457414084e-4,28.5297502872411,12.203228909434708
93,Gloucester,2986,1,3.348961821835231e-4,2.4353590077353418,1.3878428827326375
95,Camden,17320,11,6.351039260969977e-4,17.273520071585768,11.999908632648506
96,Camden,6971,2,2.8690288337397793e-4,5.605421230979095,2.75561258288805
97,Burlington,6396,1,1.5634771732332708e-4,3.9361963834535763,1.8003074351316328
98,Camden,988,1,0.0010121457489878543,0.7058699987644802,0.764827567219396
99,Gloucester,5924,1,1.6880486158001352e-4,3.672656044180505,1.831022394843545
100,Camden,2169,0,0,3.01895686039535,1.346250761271042
101,Camden,63705,58,9.104465897496271e-4,64.79018774862055,57.857140529073
102,Gloucester,4831,3,6.20989443179466e-4,4.128205433074819,2.7356125467506636
103,Gloucester,9861,12,0.001216915120170368,12.364659494235438,12.098956767263932
104,Camden,5448,1,1.8355359765051394e-4,4.758735488659275,2.0712572688155917
105,Gloucester,5904,4,6.775067750677507e-4,4.267065518002913,3.8469487833376785
106,Camden,8327,3,3.6027380809415153e-4,8.328861346989777,4.07987714606706
107,Camden,4272,1,2.3408239700374532e-4,3.602480510004383,1.8224529444147595
108,Gloucester,30448,90,0.0029558591697320022,33.54180985889912,83.21190418537103
109,Burlington,3984,0,0,3.6700066780001253,1.4842666062597065
110,Camden,11398,8,7.018775223723461e-4,14.169333171843563,8.5071559866199
111,Burlington,6851,4,5.838563713326521e-4,6.102344143218395,4.519859924877752
112,Camden,2885,2,6.932409012131716e-4,7.004848693280237,2.986002540850848
113,Gloucester,2959,4,0.0013518080432578573,2.2483625719997167,2.8560913228016007
115,Gloucester,21149,18,8.511040711144735e-4,21.66878322231011,17.44050590878688
116,Camden,6716,4,5.955926146515784e-4,5.704203377629157,4.110287606880182
117,Camden,2004,0,0,1.1465403697224854,0.7209422334757473
118,Gloucester,4169,2,4.797313504437515e-4,3.9163774648318475,2.38881466841985
119,Camden,7514,3,3.992547245142401e-4,8.235339790149599,3.8243239011386025
120,Camden,4582,2,4.3649061545176777e-4,3.1923848502566963,2.131623035855643
121,Camden,854,0,0,1.098304448019796,0.5010107645446096
122,Camden,8661,4,4.618404341300081e-4,7.548788441236999,4.515830227111992
123,Camden,11248,4,3.5561877667140827e-4,9.682218018955828,4.952664180479436
124,Camden,3964,1,2.522704339051463e-4,2.9323912080921213,1.6009879422106754
125,Camden,11345,4,3.5257822829440284e-4,9.551478851519452,4.9416728917896595
126,Camden,5553,2,3.601656762110571e-4,9.080198572483956,3.385966302005555
127,Camden,2920,1,3.4246575342465754e-4,5.829894647331307,3.0485644428651266
128,Burlington,1741,9,0.005169442848937392,1.9054752793587448,5.8578476437418034
129,Camden,13912,16,0.0011500862564692352,12.273082230216504,15.052999636322433
130,Camden,14539,5,3.4390260678175943e-4,15.75626677507939,6.318327626158845
133,Ocean,28804,10,3.4717400361060965e-4,21.18198819523781,10.823255252561548
135,Ocean,11226,6,5.344735435595938e-4,7.354154840728204,6.600778632286401
138,Camden,70965,144,0.002029169308814204,88.88175310408266,139.2983869156691
140,Camden,3719,11,0.0029577843506318905,5.4046519590694535,9.290733403924202
141,Camden,74002,91,0.0012296964946893326,101.01162670178823,93.23695821286803
142,Burlington,18642,30,0.0016092693916961698,19.41942915765259,28.6202124078006
143,Burlington,1499,1,6.6711140760507e-4,1.5075801488812837,1.2097325084087582
145,Burlington,10154,8,7.878668505022651e-4,18.56476641448114,8.286765633413962
146,Ocean,41815,100,0.0023914863087408826,114.30749094989693,98.06996381052906
147,Burlington,12232,19,0.001553302812295618,9.52993060106503,17.007774405955242
148,Camden,35660,16,4.48681996634885e-4,44.87577384566816,18.43196981844243
149,Burlington,6010,1,1.6638935108153079e-4,4.539618751661324,1.8807155450740205
150,Burlington,41422,42,0.001013953937521124,40.92479559495604,41.7048838356326
151,Burlington,27169,24,8.833597114358276e-4,20.04274649858094,23.085052759924004
152,Burlington,9563,1,1.0456969570218551e-4,7.098068925070191,2.7027139414397277
153,Burlington,20449,63,0.0030808352486674166,16.622120193831577,56.485716500342214
154,Burlington,7189,3,4.173042147725692e-4,5.564414159088683,3.5842730328172956
156,Burlington,2705,9,0.0033271719038817007,2.8702811918994167,6.661748722683745
157,Burlington,5989,3,5.009183503088997e-4,3.510662495117045,3.2506963787248777
158,Burlington,16416,27,0.001644736842105263,15.327340632611312,25.067989982265196
159,Burlington,701,1,0.0014265335235378032,0.5158328166082363,0.6581378603147107
160,Burlington,16548,3,1.8129079042784627e-4,12.643561021154786,4.5678331483035715
161,Burlington,8672,5,5.765682656826568e-4,4.612944018636926,4.925680652745534
162,Burlington,7857,1,1.2727504136438844e-4,6.484138882747207,2.823824950287404
163,Ocean,43503,162,0.0037238811116474726,190.4628788813714,157.1808304815628
164,Burlington,31662,30,9.475080538184574e-4,47.439914956001836,31.845535275189725
165,Ocean,396,0,0,3.6563427780266378,0.9409834848741997
166,Ocean,92325,166,0.0017979962090441375,92.13139013979175,159.71891453772767
167,Burlington,4469,4,8.950548221078541e-4,4.791912237364731,3.977170211743038
168,Burlington,2267,1,4.411116012351125e-4,1.5962933017277778,1.2798077673647228
169,Burlington,8692,4,4.601932811780948e-4,10.296604873763686,5.725979107939336
170,Burlington,3275,2,6.106870229007634e-4,2.316004005221634,1.6836534024996055
171,Ocean,1048,0,0,2.5449440033307007,1.0073307883597027
172,Ocean,18598,27,0.0014517690074201527,14.782523703375464,25.45107218329143
173,Burlington,9815,4,4.075394803871625e-4,8.807776425066015,4.780453023080218
174,Ocean,4537,5,0.001102049812651532,4.980639361777349,4.666713288588607
175,Ocean,102466,198,0.0019323482911404758,163.50187171572588,192.3389336288376
176,Burlington,22586,82,0.0036305676082529,19.736427574021366,74.29251219360255
178,Burlington,8533,9,0.001054728700339857,14.383231939360087,8.867159241465025
179,Burlington,12552,7,5.576800509878904e-4,10.54000749757273,7.163868006733695
180,Ocean,8513,5,5.873370139786209e-4,4.957449139521903,4.588125805830347
181,Ocean,75342,146,0.001937830161131905,75.24111924547407,139.5439591711473
182,Burlington,7526,1,1.3287270794578793e-4,3.7202077572233923,2.2995657891705763
184,Burlington,752,1,0.0013297872340425532,0.3176629247457811,0.44494703296931454
185,Burlington,3823,6,0.0015694480774261052,3.8176577055623495,5.068108856026721
187,Burlington,7506,0,0,6.472612526847737,1.9315559373771223
189,Ocean,56968,74,0.001298974863081028,54.616092616125634,71.46079478610127
191,Burlington,11967,5,4.178156597309267e-4,8.953105904287773,5.447272282238933
203,Mercer,83412,77,9.231285666330984e-4,115.28145203214939,80.82757863328776
207,Mercer,87424,186,0.002127562225475842,99.62940184479393,178.3942997199635
223,Middlesex,3649,3,8.22143052891203e-4,3.7517410850904205,2.778544019508147
225,Mercer,27937,28,0.0010022550739163117,22.59720506760181,27.77400142155767
231,Middlesex,5921,6,0.0010133423408208073,5.572411445809291,6.0050481310955925
233,Middlesex,23028,23,9.987840889352094e-4,17.62360939611786,22.851129582472502
236,Middlesex,44306,127,0.0028664289261048164,139.59733445664034,124.14373231065305
237,Hunterdon,3822,3,7.849293563579278e-4,4.675546453095104,3.3607798561775755
238,Middlesex,2475,4,0.0016161616161616162,2.4159849888419402,3.649115598181215
239,Mercer,31000,18,5.806451612903225e-4,40.88626017210682,19.300825230093015
243,Somerset,636,0,0,0.9700769183264251,0.540314068870863
244,Middlesex,8269,4,4.837344297980409e-4,11.405955878394716,5.029583645578706
245,Hunterdon,614,0,0,1.5697617638862558,0.6574905298136757
246,Mercer,18067,8,4.4279625837161677e-4,17.44755689690238,8.914470378178146
247,Hunterdon,2757,4,0.0014508523757707653,2.9434155649435945,3.251175600806225
250,Middlesex,45400,32,7.048458149779736e-4,44.14767999833779,33.146201097524305
256,Middlesex,6998,4,5.715918833952558e-4,5.697029118318184,4.421219684446836
257,Middlesex,65782,84,0.001276945060958925,71.48859894071555,82.36918615605462
258,Middlesex,16001,10,6.249609399412537e-4,15.704109204341677,11.004048264396317
259,Somerset,23045,6,2.603601648947711e-4,20.120051095606357,7.9689502934163245
260,Middlesex,41760,54,0.001293103448275862,60.26907435783561,55.4409995727416
261,Middlesex,47819,62,0.001296555762353876,52.446119319709844,60.60428121197006
262,Hunterdon,3890,0,0,5.786920255022544,1.7215474785175882
263,Middlesex,8772,18,0.002051983584131327,11.936529140733422,16.770427200114042
264,Somerset,498,0,0,0.6821854598168603,0.5486241746688847
265,Middlesex,55960,80,0.0014295925661186562,113.38964594890152,85.15865416105241
266,Middlesex,44292,42,9.48252506095909e-4,52.47075454216806,42.67618534716066
267,Middlesex,13883,9,6.482748685442628e-4,13.36960855113135,9.89832913515012
268,Hunterdon,4608,3,6.510416666666666e-4,6.10075721078896,4.252745392916775
269,Hunterdon,4455,2,4.489337822671156e-4,5.281996027241162,2.4940340863337993
270,Hunterdon,1464,0,0,1.264850506794921,0.6383929588343121
271,Middlesex,51678,137,0.0026510313866635704,133.74691647502692,141.73979887692502
272,Somerset,65554,146,0.0022271714922048997,108.27524094758846,143.51923464395514
273,Middlesex,14048,3,2.1355353075170843e-4,17.80886158917432,5.5824120525385785
274,Somerset,10230,7,6.842619745845552e-4,15.299668848090242,8.249627949777004
275,Somerset,4534,3,6.616674018526688e-4,5.878180976271964,4.058497359333985
276,Somerset,39542,76,0.001922006979920085,38.39021091785893,72.13813508309148
277,Hunterdon,1298,1,7.704160246533128e-4,1.4796594988530545,0.8897113870520335
278,Hunterdon,22129,22,9.941705454381128e-4,22.689724794079744,21.317584622790605
279,Somerset,12085,7,5.792304509722797e-4,17.204309184016747,8.824744762382476
280,Somerset,10288,13,0.0012636080870917575,18.327158813021526,14.541897096553772
281,Somerset,7865,16,0.00203432930705658,10.385116246250766,15.273469102044231
282,Middlesex,56884,38,6.680261584979959e-4,105.32146282240906,41.90571668494912
283,Middlesex,23956,38,0.001586241442644849,37.81742551312311,38.18003015282852
284,Middlesex,23589,29,0.001229386578489974,50.38757893494667,31.475727340253176
285,Middlesex,100447,240,0.002389319740758808,163.09224813412806,236.72987573025534
286,Union,29543,33,0.0011170158751650137,57.68420927845031,35.26527929999678
287,Hunterdon,3348,0,0,4.412511158704608,1.1634639170312175
288,Somerset,7114,33,0.0046387405116671354,12.601361994107759,30.750658166613803
289,Union,1623,0,0,2.378934605534378,1.0208965594272656
290,Union,15748,28,0.001778003556007112,26.845800516171728,27.289126238496156
291,Hunterdon,5133,0,0,5.784847184046006,1.5170700438306643
292,Somerset,21501,36,0.0016743407283382169,34.459808485924604,36.75335357301572
293,Union,50362,113,0.0022437552122632144,125.06913525542116,115.54871326578035
294,Hunterdon,2686,1,3.7230081906180194e-4,2.45784728046919,1.4972598755344693
295,Hunterdon,4785,0,0,6.179995658528575,1.6219928572291686
296,Somerset,44467,69,0.0015517125059032542,60.179472552373824,67.81956937842153
297,Hunterdon,1856,0,0,1.6064589735739405,0.883024420900818
298,Union,7660,12,0.001566579634464752,9.666266902704514,12.225646866212017
299,Union,42222,114,0.0027000142106011083,90.23031229886628,112.35861809302051
300,Union,4338,2,4.610419548178884e-4,6.290897527787815,3.1341232891666015
301,Union,21637,20,9.243425613532375e-4,54.243202869188,22.61643869840195
302,Somerset,6039,15,0.0024838549428713363,11.395289500585372,13.643352658830704
303,Hunterdon,729,0,0,0.5444997702723414,0.2634364459532709
304,Union,13581,10,7.363228039172373e-4,22.63850373473593,11.778583472526758
305,Somerset,15720,14,8.905852417302799e-4,21.393594034665625,14.317479351239989
307,Union,24014,96,0.003997668026984259,41.29576429282372,90.50418380841604
308,Union,24205,15,6.197066721751704e-4,32.16414148891358,16.419934220748544
309,Hunterdon,5560,21,0.003776978417266187,8.388150154331587,17.78847230438135
310,Hunterdon,3500,0,0,2.92294717689862,1.2738386375606032
311,Union,29877,42,0.0014057636308866352,37.71879630778118,41.127020935135285
313,Union,8161,8,9.802720254870727e-4,15.667880266933192,9.1399792572884
314,Union,128333,422,0.0032883202294031934,348.60139959419377,424.86028998723236
315,Hunterdon,12787,5,3.910221318526629e-4,16.458644531444676,6.282435774599339
316,Union,13310,59,0.004432757325319309,22.029365070946866,55.60103337559989
317,Union,6826,7,0.0010254907705830648,15.294063301025744,7.695978762281314
318,Hudson,65091,76,0.0011675961346422701,128.55280279688122,78.73854634890834
319,Hunterdon,3881,1,2.576655501159495e-4,3.332978170678938,1.7066677279908389
321,Hunterdon,1488,0,0,1.3128737312034406,0.633537782196659
322,Union,13049,7,5.364395739137098e-4,16.154734575193253,8.222807964739827
323,Union,17406,22,0.0012639319774790303,30.528683533940164,22.78848022527881
324,Hunterdon,1309,0,0,1.4933506824019394,0.5314118157268227
326,Union,58297,71,0.0012179014357514108,166.14054675892007,76.0865389957434
328,Somerset,860,0,0,0.8798464553154925,0.4951553515740222
329,Somerset,8045,4,4.972032318210068e-4,10.67290787785173,5.023023961239874
330,Hunterdon,1139,0,0,0.6407212548379794,0.3327237036423325
331,Union,21913,17,7.757951900698216e-4,26.35395740319205,17.996780170837038
332,Somerset,2575,1,3.883495145631068e-4,3.6089701116915722,1.7016059151171492
333,Hunterdon,5812,1,1.7205781142463867e-4,5.802628671009955,1.6405853828778303
334,Somerset,7678,4,5.209690023443605e-4,6.031353538808177,4.355855586244273
335,Hudson,53193,31,5.827834489500498e-4,59.86443111744584,34.49736418561521
336,Essex,24784,27,0.0010894125242091673,40.5296503815857,28.219659812334385
